,phase,8949170_q,8949170_w,-164126513_q,-164126513_w,52016249_q,52016249_w,-164126511_q,-164126511_w,stateNum
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,2,2
3,0,0,0,0,0,0,0,1,0,3
4,0,0,0,0,0,0,0,1,1,4
5,0,0,0,0,0,0,0,1,2,5
6,0,0,0,0,0,0,0,2,0,6
7,0,0,0,0,0,0,0,2,1,7
8,0,0,0,0,0,0,0,2,2,8
9,0,0,0,0,0,0,1,0,0,9
10,0,0,0,0,0,0,1,0,1,10
11,0,0,0,0,0,0,1,0,2,11
12,0,0,0,0,0,0,1,1,0,12
13,0,0,0,0,0,0,1,1,1,13
14,0,0,0,0,0,0,1,1,2,14
15,0,0,0,0,0,0,1,2,0,15
16,0,0,0,0,0,0,1,2,1,16
17,0,0,0,0,0,0,1,2,2,17
18,0,0,0,0,0,0,2,0,0,18
19,0,0,0,0,0,0,2,0,1,19
20,0,0,0,0,0,0,2,0,2,20
21,0,0,0,0,0,0,2,1,0,21
22,0,0,0,0,0,0,2,1,1,22
23,0,0,0,0,0,0,2,1,2,23
24,0,0,0,0,0,0,2,2,0,24
25,0,0,0,0,0,0,2,2,1,25
26,0,0,0,0,0,0,2,2,2,26
27,0,0,0,0,0,1,0,0,0,27
28,0,0,0,0,0,1,0,0,1,28
29,0,0,0,0,0,1,0,0,2,29
30,0,0,0,0,0,1,0,1,0,30
31,0,0,0,0,0,1,0,1,1,31
32,0,0,0,0,0,1,0,1,2,32
33,0,0,0,0,0,1,0,2,0,33
34,0,0,0,0,0,1,0,2,1,34
35,0,0,0,0,0,1,0,2,2,35
36,0,0,0,0,0,1,1,0,0,36
37,0,0,0,0,0,1,1,0,1,37
38,0,0,0,0,0,1,1,0,2,38
39,0,0,0,0,0,1,1,1,0,39
40,0,0,0,0,0,1,1,1,1,40
41,0,0,0,0,0,1,1,1,2,41
42,0,0,0,0,0,1,1,2,0,42
43,0,0,0,0,0,1,1,2,1,43
44,0,0,0,0,0,1,1,2,2,44
45,0,0,0,0,0,1,2,0,0,45
46,0,0,0,0,0,1,2,0,1,46
47,0,0,0,0,0,1,2,0,2,47
48,0,0,0,0,0,1,2,1,0,48
49,0,0,0,0,0,1,2,1,1,49
50,0,0,0,0,0,1,2,1,2,50
51,0,0,0,0,0,1,2,2,0,51
52,0,0,0,0,0,1,2,2,1,52
53,0,0,0,0,0,1,2,2,2,53
54,0,0,0,0,0,2,0,0,0,54
55,0,0,0,0,0,2,0,0,1,55
56,0,0,0,0,0,2,0,0,2,56
57,0,0,0,0,0,2,0,1,0,57
58,0,0,0,0,0,2,0,1,1,58
59,0,0,0,0,0,2,0,1,2,59
60,0,0,0,0,0,2,0,2,0,60
61,0,0,0,0,0,2,0,2,1,61
62,0,0,0,0,0,2,0,2,2,62
63,0,0,0,0,0,2,1,0,0,63
64,0,0,0,0,0,2,1,0,1,64
65,0,0,0,0,0,2,1,0,2,65
66,0,0,0,0,0,2,1,1,0,66
67,0,0,0,0,0,2,1,1,1,67
68,0,0,0,0,0,2,1,1,2,68
69,0,0,0,0,0,2,1,2,0,69
70,0,0,0,0,0,2,1,2,1,70
71,0,0,0,0,0,2,1,2,2,71
72,0,0,0,0,0,2,2,0,0,72
73,0,0,0,0,0,2,2,0,1,73
74,0,0,0,0,0,2,2,0,2,74
75,0,0,0,0,0,2,2,1,0,75
76,0,0,0,0,0,2,2,1,1,76
77,0,0,0,0,0,2,2,1,2,77
78,0,0,0,0,0,2,2,2,0,78
79,0,0,0,0,0,2,2,2,1,79
80,0,0,0,0,0,2,2,2,2,80
81,0,0,0,0,1,0,0,0,0,81
82,0,0,0,0,1,0,0,0,1,82
83,0,0,0,0,1,0,0,0,2,83
84,0,0,0,0,1,0,0,1,0,84
85,0,0,0,0,1,0,0,1,1,85
86,0,0,0,0,1,0,0,1,2,86
87,0,0,0,0,1,0,0,2,0,87
88,0,0,0,0,1,0,0,2,1,88
89,0,0,0,0,1,0,0,2,2,89
90,0,0,0,0,1,0,1,0,0,90
91,0,0,0,0,1,0,1,0,1,91
92,0,0,0,0,1,0,1,0,2,92
93,0,0,0,0,1,0,1,1,0,93
94,0,0,0,0,1,0,1,1,1,94
95,0,0,0,0,1,0,1,1,2,95
96,0,0,0,0,1,0,1,2,0,96
97,0,0,0,0,1,0,1,2,1,97
98,0,0,0,0,1,0,1,2,2,98
99,0,0,0,0,1,0,2,0,0,99
100,0,0,0,0,1,0,2,0,1,100
101,0,0,0,0,1,0,2,0,2,101
102,0,0,0,0,1,0,2,1,0,102
103,0,0,0,0,1,0,2,1,1,103
104,0,0,0,0,1,0,2,1,2,104
105,0,0,0,0,1,0,2,2,0,105
106,0,0,0,0,1,0,2,2,1,106
107,0,0,0,0,1,0,2,2,2,107
108,0,0,0,0,1,1,0,0,0,108
109,0,0,0,0,1,1,0,0,1,109
110,0,0,0,0,1,1,0,0,2,110
111,0,0,0,0,1,1,0,1,0,111
112,0,0,0,0,1,1,0,1,1,112
113,0,0,0,0,1,1,0,1,2,113
114,0,0,0,0,1,1,0,2,0,114
115,0,0,0,0,1,1,0,2,1,115
116,0,0,0,0,1,1,0,2,2,116
117,0,0,0,0,1,1,1,0,0,117
118,0,0,0,0,1,1,1,0,1,118
119,0,0,0,0,1,1,1,0,2,119
120,0,0,0,0,1,1,1,1,0,120
121,0,0,0,0,1,1,1,1,1,121
122,0,0,0,0,1,1,1,1,2,122
123,0,0,0,0,1,1,1,2,0,123
124,0,0,0,0,1,1,1,2,1,124
125,0,0,0,0,1,1,1,2,2,125
126,0,0,0,0,1,1,2,0,0,126
127,0,0,0,0,1,1,2,0,1,127
128,0,0,0,0,1,1,2,0,2,128
129,0,0,0,0,1,1,2,1,0,129
130,0,0,0,0,1,1,2,1,1,130
131,0,0,0,0,1,1,2,1,2,131
132,0,0,0,0,1,1,2,2,0,132
133,0,0,0,0,1,1,2,2,1,133
134,0,0,0,0,1,1,2,2,2,134
135,0,0,0,0,1,2,0,0,0,135
136,0,0,0,0,1,2,0,0,1,136
137,0,0,0,0,1,2,0,0,2,137
138,0,0,0,0,1,2,0,1,0,138
139,0,0,0,0,1,2,0,1,1,139
140,0,0,0,0,1,2,0,1,2,140
141,0,0,0,0,1,2,0,2,0,141
142,0,0,0,0,1,2,0,2,1,142
143,0,0,0,0,1,2,0,2,2,143
144,0,0,0,0,1,2,1,0,0,144
145,0,0,0,0,1,2,1,0,1,145
146,0,0,0,0,1,2,1,0,2,146
147,0,0,0,0,1,2,1,1,0,147
148,0,0,0,0,1,2,1,1,1,148
149,0,0,0,0,1,2,1,1,2,149
150,0,0,0,0,1,2,1,2,0,150
151,0,0,0,0,1,2,1,2,1,151
152,0,0,0,0,1,2,1,2,2,152
153,0,0,0,0,1,2,2,0,0,153
154,0,0,0,0,1,2,2,0,1,154
155,0,0,0,0,1,2,2,0,2,155
156,0,0,0,0,1,2,2,1,0,156
157,0,0,0,0,1,2,2,1,1,157
158,0,0,0,0,1,2,2,1,2,158
159,0,0,0,0,1,2,2,2,0,159
160,0,0,0,0,1,2,2,2,1,160
161,0,0,0,0,1,2,2,2,2,161
162,0,0,0,0,2,0,0,0,0,162
163,0,0,0,0,2,0,0,0,1,163
164,0,0,0,0,2,0,0,0,2,164
165,0,0,0,0,2,0,0,1,0,165
166,0,0,0,0,2,0,0,1,1,166
167,0,0,0,0,2,0,0,1,2,167
168,0,0,0,0,2,0,0,2,0,168
169,0,0,0,0,2,0,0,2,1,169
170,0,0,0,0,2,0,0,2,2,170
171,0,0,0,0,2,0,1,0,0,171
172,0,0,0,0,2,0,1,0,1,172
173,0,0,0,0,2,0,1,0,2,173
174,0,0,0,0,2,0,1,1,0,174
175,0,0,0,0,2,0,1,1,1,175
176,0,0,0,0,2,0,1,1,2,176
177,0,0,0,0,2,0,1,2,0,177
178,0,0,0,0,2,0,1,2,1,178
179,0,0,0,0,2,0,1,2,2,179
180,0,0,0,0,2,0,2,0,0,180
181,0,0,0,0,2,0,2,0,1,181
182,0,0,0,0,2,0,2,0,2,182
183,0,0,0,0,2,0,2,1,0,183
184,0,0,0,0,2,0,2,1,1,184
185,0,0,0,0,2,0,2,1,2,185
186,0,0,0,0,2,0,2,2,0,186
187,0,0,0,0,2,0,2,2,1,187
188,0,0,0,0,2,0,2,2,2,188
189,0,0,0,0,2,1,0,0,0,189
190,0,0,0,0,2,1,0,0,1,190
191,0,0,0,0,2,1,0,0,2,191
192,0,0,0,0,2,1,0,1,0,192
193,0,0,0,0,2,1,0,1,1,193
194,0,0,0,0,2,1,0,1,2,194
195,0,0,0,0,2,1,0,2,0,195
196,0,0,0,0,2,1,0,2,1,196
197,0,0,0,0,2,1,0,2,2,197
198,0,0,0,0,2,1,1,0,0,198
199,0,0,0,0,2,1,1,0,1,199
200,0,0,0,0,2,1,1,0,2,200
201,0,0,0,0,2,1,1,1,0,201
202,0,0,0,0,2,1,1,1,1,202
203,0,0,0,0,2,1,1,1,2,203
204,0,0,0,0,2,1,1,2,0,204
205,0,0,0,0,2,1,1,2,1,205
206,0,0,0,0,2,1,1,2,2,206
207,0,0,0,0,2,1,2,0,0,207
208,0,0,0,0,2,1,2,0,1,208
209,0,0,0,0,2,1,2,0,2,209
210,0,0,0,0,2,1,2,1,0,210
211,0,0,0,0,2,1,2,1,1,211
212,0,0,0,0,2,1,2,1,2,212
213,0,0,0,0,2,1,2,2,0,213
214,0,0,0,0,2,1,2,2,1,214
215,0,0,0,0,2,1,2,2,2,215
216,0,0,0,0,2,2,0,0,0,216
217,0,0,0,0,2,2,0,0,1,217
218,0,0,0,0,2,2,0,0,2,218
219,0,0,0,0,2,2,0,1,0,219
220,0,0,0,0,2,2,0,1,1,220
221,0,0,0,0,2,2,0,1,2,221
222,0,0,0,0,2,2,0,2,0,222
223,0,0,0,0,2,2,0,2,1,223
224,0,0,0,0,2,2,0,2,2,224
225,0,0,0,0,2,2,1,0,0,225
226,0,0,0,0,2,2,1,0,1,226
227,0,0,0,0,2,2,1,0,2,227
228,0,0,0,0,2,2,1,1,0,228
229,0,0,0,0,2,2,1,1,1,229
230,0,0,0,0,2,2,1,1,2,230
231,0,0,0,0,2,2,1,2,0,231
232,0,0,0,0,2,2,1,2,1,232
233,0,0,0,0,2,2,1,2,2,233
234,0,0,0,0,2,2,2,0,0,234
235,0,0,0,0,2,2,2,0,1,235
236,0,0,0,0,2,2,2,0,2,236
237,0,0,0,0,2,2,2,1,0,237
238,0,0,0,0,2,2,2,1,1,238
239,0,0,0,0,2,2,2,1,2,239
